student_id,gender,study_hours,attendance,math_score,english_score,science_score
1,Female,5,90,85,78,88
2,Male,3,75,70,65,72
3,Female,6,95,92,88,90
4,Male,2,60,55,58,60
5,Female,4,80,76,74,79
6,Male,7,98,95,90,93
7,Female,1,50,40,45,42
8,Male,5,85,82,80,84
9,Female,3,70,68,72,65
10,Male,6,92,88,85,90
11,Female,4,78,75,70,73
12,Male,2,65,60,55,58
13,Female,7,96,94,91,95
14,Male,3,72,69,67,70
15,Female,5,88,83,80,85
16,Male,4,76,74,72,75
17,Female,6,93,89,86,91
18,Male,1,55,48,50,52
19,Female,2,68,65,60,63
20,Male,5,87,84,82,86
